"Indicator type","Indicator","Description"
"IPv4","195.178.110.76",""
"IPv4","45.119.212.196",""
"IPv4","123.200.20.14",""
"IPv4","93.185.76.242",""
"IPv4","103.183.75.137",""
"IPv4","80.94.95.112",""
"IPv4","51.77.58.143",""
"IPv4","86.102.131.54",""
"IPv4","50.193.220.21",""
"IPv4","80.94.95.112",""
"IPv4","103.189.88.237",""
"IPv4","218.92.0.235",""
"IPv4","218.92.0.198",""
"IPv4","102.140.97.134",""
"IPv4","218.92.0.236",""
"IPv4","218.92.0.218",""
"IPv4","218.92.0.218",""
"IPv4","45.194.37.246",""
"IPv4","36.46.129.70",""
"IPv4","193.32.162.137",""
"IPv4","36.46.129.70",""
"IPv4","14.103.115.213",""
"IPv4","218.92.0.112",""
"IPv4","123.58.212.84",""
"IPv4","218.92.0.134",""
"IPv4","92.118.39.86",""
"IPv4","218.92.0.216",""
"IPv4","218.92.0.216",""
"IPv4","218.92.0.216",""
"IPv4","218.92.0.216",""
"IPv4","92.118.39.86",""
"IPv4","37.46.19.147",""
"IPv4","218.92.0.230",""
"IPv4","80.94.95.112",""
"IPv4","218.92.0.217",""
"IPv4","218.92.0.111",""
"IPv4","101.126.88.33",""
"IPv4","41.111.178.165",""
"IPv4","61.155.106.101",""
"IPv4","128.199.20.225",""
"IPv4","196.251.84.225",""
"IPv4","218.92.0.134",""
"IPv4","113.161.194.27",""
"IPv4","101.89.186.252",""
"IPv4","218.92.0.111",""
"IPv4","218.92.0.236",""
"IPv4","218.92.0.231",""
"IPv4","218.92.0.227",""
"IPv4","218.92.0.231",""
"IPv4","218.92.0.227",""
"IPv4","218.92.0.111",""
"IPv4","2.57.122.193",""
"IPv4","87.201.127.149",""
"IPv4","123.210.139.84",""
"IPv4","79.3.96.178",""
"IPv4","103.76.120.193",""
"IPv4","14.103.118.190",""
"IPv4","118.68.155.245",""
"IPv4","123.59.50.202",""
"IPv4","152.42.135.85",""
"IPv4","45.148.10.240",""
"IPv4","161.97.77.165",""
"IPv4","45.148.10.240",""
"IPv4","218.92.0.134",""
"IPv4","45.148.10.240",""
"IPv4","34.80.240.228",""
"IPv4","178.252.132.250",""
"IPv4","103.10.44.19",""
"IPv4","139.59.8.149",""
"IPv4","45.118.145.72",""
"IPv4","122.176.122.24",""
"IPv4","218.92.0.226",""
"IPv4","218.92.0.198",""
"IPv4","218.92.0.198",""
